pin,slack
Initial_blinking_SW1/un7_cntlto31_0_a3:C,11919
Initial_blinking_SW1/un7_cntlto31_0_a3:D,16254
Initial_blinking_SW1/un7_cntlto31_0_a3:Y,11919
Fast_clk_SW2/cnt_RNIDHNA82[21]:A,
Fast_clk_SW2/cnt_RNIDHNA82[21]:B,12616
Fast_clk_SW2/cnt_RNIDHNA82[21]:C,16333
Fast_clk_SW2/cnt_RNIDHNA82[21]:CC,11488
Fast_clk_SW2/cnt_RNIDHNA82[21]:P,
Fast_clk_SW2/cnt_RNIDHNA82[21]:S,11488
Fast_clk_SW2/cnt_RNIDHNA82[21]:UB,16333
Initial_blinking_SW2/cnt[19]:ADn,
Initial_blinking_SW2/cnt[19]:ALn,16181
Initial_blinking_SW2/cnt[19]:CLK,13443
Initial_blinking_SW2/cnt[19]:D,11457
Initial_blinking_SW2/cnt[19]:EN,
Initial_blinking_SW2/cnt[19]:LAT,
Initial_blinking_SW2/cnt[19]:Q,13443
Initial_blinking_SW2/cnt[19]:SD,
Initial_blinking_SW2/cnt[19]:SLn,
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:A,
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:B,12292
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:C,17346
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:CC,11212
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:D,
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:P,
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:S,11212
Initial_blinking_SW1/cnt_RNI2HVOP1[24]:UB,
Fast_clk_SW1/cnt_RNIJD9QV[11]:A,
Fast_clk_SW1/cnt_RNIJD9QV[11]:B,11650
Fast_clk_SW1/cnt_RNIJD9QV[11]:C,16014
Fast_clk_SW1/cnt_RNIJD9QV[11]:CC,11712
Fast_clk_SW1/cnt_RNIJD9QV[11]:P,11650
Fast_clk_SW1/cnt_RNIJD9QV[11]:S,11712
Fast_clk_SW1/cnt_RNIJD9QV[11]:UB,16014
Initial_blinking_SW1/cnt_RNI16SIH[6]:A,
Initial_blinking_SW1/cnt_RNI16SIH[6]:B,11432
Initial_blinking_SW1/cnt_RNI16SIH[6]:C,16042
Initial_blinking_SW1/cnt_RNI16SIH[6]:CC,11529
Initial_blinking_SW1/cnt_RNI16SIH[6]:P,11432
